443804,1
40627,1
184963,1
352645,0
132706,0
519051,0
380329,1
116832,0
4407,1
450253,1
96029,0
454602,1
494858,0
157452,0
378170,1
120229,0
44548,1
459791,0
165309,1
418194,0
541865,0
289223,1
84067,0
293764,1
350633,1
399252,1
357382,1
495545,1
474918,1
111918,0
514590,0
85449,1
387575,0
234658,0
35097,1
426780,1
330549,1
50496,0
376729,1
103568,1
172363,1
343492,1
180361,1
552312,0
165462,0
299371,0
366450,1
534627,0
217208,0
465379,0
453056,0
97388,0
200510,0
385076,1
276340,0
477123,1
441658,0
398957,0
211508,1
536690,0
275720,1
31110,0
388649,1
361919,0
397688,1
271761,1
426874,0
355277,1
228404,1
469969,0
553294,0
66799,0
19047,0
495964,0
17391,1
449076,1
371457,1
255004,0
373507,1
284265,1
100427,1
432240,0
432968,0
365264,1
339339,0
397650,1
368091,1
368095,1
454103,0
323461,1
483912,1
76744,1
266512,0
525764,0
20170,1
