515,0
516,0
517,1
518,1
523,0
524,0
32,0
33,0
55,1
569,1
58,0
570,0
59,0
57,0
62,0
65,0
68,0
86,0
87,0
88,0
96,0
98,0
107,0
108,0
621,0
622,0
631,0
632,0
635,1
138,0
143,1
144,0
149,0
693,1
699,0
702,1
703,0
704,0
705,1
197,0
198,1
200,0
201,0
265,0
268,0
269,0
270,1
281,0
282,0
293,0
294,0
297,1
298,0
306,0
307,0
308,1
309,0
311,1
312,0
331,0
360,0
368,1
369,1
377,0
378,0
402,0
404,1
416,0
417,0
419,0
422,1
431,0
432,0
435,1
436,0
437,0
438,1
441,0
442,0
443,1
454,0
455,1
457,0
461,1
462,0
481,1
482,0
495,0
498,0
499,0
